Word,Definition,Curse
anus,butt,0
arse,butt,1
arsehole,butt,1
ass,butt,1
ass+AC0-hat,idiot,1
ass+AC0-jabber,homosexual,1
ass+AC0-pirate,homosexual,1
assbag,idiot,1
assbandit,homosexual,1
assbanger,homosexual,1
assbite,idiot,1
assclown,butt,1
asscock,idiot,1
asscracker,butt,1
asses,butts,1
assface,butt,1
assfuck,rear+AC0-loving,1
assfucker,homosexual,1
assgoblin,homosexual,1
asshat,butt,1
asshead,idiot,1
asshole,jerk,1
asshopper,homosexual,1
assjacker,homosexual,1
asslick,idiot,1
asslicker,buttlicker,1
assmonkey,idiot,1
assmunch,idiot,1
assmuncher,butt,1
assnigger,racial slur,1
asspirate,homosexual,1
assshit,idiot,1
assshole,butt,1
asssucker,idiot,1
asswad,butt,1
asswipe,butt,1
axwound,female genitalia,1
bampot,idiot,1
bastard,illegitimate child,1
beaner,mexican,1
bitch,female dog,1
bitchass,idiot,1
bitches,female dogs,1
bitchtits,homosexual,1
bitchy,mean,1
blow job,sexual act,0
blowjob,sexual act,0
bollocks,male genitalia,1
bollox,male genitalia,1
boner,erection,0
brotherfucker,homosexual,1
bullshit,poop,1
bumblefuck,homosexual,1
butt plug,cork,0
butt+AC0-pirate,homosexual,0
buttfucka,homosexual,1
buttfucker,homosexual,1
camel toe,female genitalia,0
carpetmuncher,homosexual,0
chesticle,breast,0
chinc,chinese,1
chink,asian,1
choad,male genitalia,0
chode,small penis,0
clit,female genitals,0
clitface,idiot,0
clitfuck,sexual act,1
clusterfuck,mess up,1
cock,penis,1
cockass,jerk,1
cockbite,idiot,1
cockburger,idiot,1
cockface,idiot,1
cockfucker,idiot,1
cockhead,idiot,1
cockjockey,homosexual,1
cockknoker,homosexual,1
cockmaster,homosexual,1
cockmongler,homosexual,1
cockmongruel,homosexual,1
cockmonkey,idiot,1
cockmuncher,homosexual,1
cocknose,idiot,1
cocknugget,idiot,1
cockshit,idiot,1
cocksmith,homosexual,1
cocksmoke,homosexual,1
cocksmoker,homosexual,1
cocksniffer,homosexual,1
cocksucker,homosexual,1
cockwaffle,idiot,1
coochie,female genitalia,0
coochy,female genitalia,0
coon,african american,1
cooter,vagina,0
cracker,caucasian,1
cum,semen,0
cumbubble,idiot,0
cumdumpster,prostitute,0
cumguzzler,homosexual,1
cumjockey,homosexual,0
cumslut,dirty girl,1
cumtart,idiot,0
cunnie,female genitalia,0
cunnilingus,sexual act,0
cunt,vagina,1
cuntass,idiot,1
cuntface,idiot,1
cunthole,female genitalia,1
cuntlicker,homosexual,1
cuntrag,idiot,1
cuntslut,idiot,1
dago,italian,1
damn,darn,1
deggo,italian,1
dick,penis,1
dick+AC0-sneeze,orgasm,1
dickbag,idiot,1
dickbeaters,hands,1
dickface,idiot,1
dickfuck,idiot,1
dickfucker,homosexual,1
dickhead,phallace face,1
dickhole,male genitalia,1
dickjuice,semen,1
dickmilk,sperm,1
dickmonger,homosexual,1
dicks,penises,1
dickslap,sexual act,1
dicksucker,homosexual,1
dicksucking,sexual act,1
dicktickler,homosexual,1
dickwad,idiot,1
dickweasel,idiot,1
dickweed,idiot,1
dickwod,idiot,1
dike,homosexual,1
dildo,sexual toy,0
dipshit,idiot,1
doochbag,idiot,1
dookie,poop,0
douche,female hygene product,0
douche+AC0-fag,idiot,1
douchebag,female hygene accessory,0
douchewaffle,homosexual,1
dumass,idiot,1
dumb ass,idiot,1
dumbass,idiot,1
dumbfuck,idiot,1
dumbshit,idiot,1
dumshit,idiot,1
dyke,homosexual,1
fag,homosexual,1
fagbag,homosexual,1
fagfucker,homosexual,1
faggit,homosexual,1
faggot,homosexual,1
faggotcock,homosexual,1
fagtard,homosexual idiot,1
fatass,a fat person,1
fellatio,sexual act,0
feltch,sexual act,0
flamer,homosexual,0
fuck,fornicate,1
fuckass,idiot,1
fuckbag,idiot,1
fuckboy,idiot,1
fuckbrain,idiot,1
fuckbutt,butt,1
fuckbutter,sexual fluids,1
fucked,had intercourse,1
fucker,fornicator,1
fuckersucker,idiot,1
fuckface,idiot,1
fuckhead,butt,1
fuckhole,jerk,1
fuckin,sexual act,1
fucking,freaking,1
fucknut,idiot,1
fucknutt,idiot,1
fuckoff,go away,1
fucks,sexual act,1
fuckstick,male genitalia,1
fucktard,moron,1
fucktart,idiot,1
fuckup,idiot,1
fuckwad,idiot,1
fuckwit,dummy,1
fuckwitt,idiot,1
fudgepacker,homosexual,1
gay,homosexual,0
gayass,butt,1
gaybob,homosexual,0
gaydo,homosexual,0
gayfuck,homosexual,1
gayfuckist,homosexual,1
gaylord,homosexual,0
gaytard,homosexual,0
gaywad,homosexual,0
goddamn,goshdarn,1
goddamnit,goshdarnit,1
gooch,female genitalia,0
gook,chinese,1
gringo,foreigner,1
guido,italian,1
handjob,sexual act,1
hard on,erection,
heeb,jewish person,1
hell,heck,1
ho,woman,1
hoe,woman,1
homo,homosexual,0
homodumbshit,idiot,1
honkey,white person,1
humping,sexual act,1
jackass,idiot,1
jagoff,idiot,1
jap,japanesse person,1
jerk off,masturbate,1
jerkass,idiot,1
jigaboo,african american,1
jizz,semen,0
jungle bunny,african american,1
junglebunny,african american,1
kike,jewish person,1
kooch,female genitalia,0
kootch,female genitalia,0
kraut,german,1
kunt,female genitalia,1
kyke,jewish person,1
lameass,loser,1
lardass,overweight individual,1
lesbian,homosexual,0
lesbo,homosexual,0
lezzie,homosexual,0
mcfagget,homosexual,1
mick,irish,1
minge,female genitalia,0
mothafucka,jerk,1
mothafuckin',mother loving,1
motherfucker,mother lover,1
motherfucking,fornicating with mother,1
muff,female genitalia,0
muffdiver,homosexual,0
munging,sexual act,1
negro,african american,1
nigaboo,african american,1
nigga,african american,1
nigger,african american,1
niggers,african americans,1
niglet,african american child,1
nut sack,male genitalia,0
nutsack,male genitalia,0
paki,pakistanien,1
panooch,femail genitalia,0
pecker,penis,0
peckerhead,idiot,0
penis,male genitalia,0
penisbanger,homosexual,1
penisfucker,homosexual,1
penispuffer,homosexual,1
piss,urinate,1
pissed,urinated,1
pissed off,angry,1
pissflaps,female genitalia,1
polesmoker,homosexual,0
pollock,polish person,1
poon,female genitals,0
poonani,female genitalia,0
poonany,vagina,0
poontang,female genitalia,0
porch monkey,african american,1
porchmonkey,african american,1
prick,penis,1
punanny,female genitalia,0
punta,female dog,1
pussies,female genitalias,1
pussy,female reproductive organ,1
pussylicking,sexual act,1
puto,idiot,1
queef,vaginal fart.,0
queer,homosexual,0
queerbait,homosexual,0
queerhole,homosexual,0
renob,erection,0
rimjob,dirty sexual act,0
ruski,russian,1
sand nigger,middle eastern,1
sandnigger,middle eastern,1
schlong,male genitalia,0
scrote,male genitalia,0
shit,poop,1
shitass,idiot,1
shitbag,idiot,1
shitbagger,idiot,1
shitbrains,idiot,1
shitbreath,bad breath,1
shitcanned,fired,1
shitcunt,idiot,1
shitdick,idiot,1
shitface,pooface,1
shitfaced,drunk,1
shithead,jerk,1
shithole,idiot,1
shithouse,bathroom,1
shitspitter,butt,1
shitstain,poop,1
shitter,defecator,1
shittiest,worst,1
shitting,pooping,1
shitty,bad,1
shiz,poop,1
shiznit,poop,1
skank,dirty girl,1
skeet,semen,1
skullfuck,sexual act,1
slut,sexually popular woman,1
slutbag,sexually popular woman,1
smeg,poop,0
snatch,female genitalia,0
spic,mexican,1
spick,mexican american,1
splooge,ejaculate,0
spook,white person,0
suckass,idiot,1
tard,mentally challenged,1
testicle,male genitalia,0
thundercunt,idiot,1
tit,breast,0
titfuck,sexual act,1
tits,breasts,0
tittyfuck,sexual act,1
twat,female genitals,1
twatlips,idiot,1
twats,vaginas,1
twatwaffle,homosexual,1
unclefucker,homosexual,1
va+AC0-j+AC0-j,female genitalia,0
vag,femail genitalia,0
vagina,female genitalia,0
vajayjay,female genitalia,0
vjayjay,female genitalia,0
wank,sexual act,0
wankjob,sexual act,0
wetback,mexican,1
whore,hussy,1
whorebag,idiot,1
whoreface,idiot,1
wop,italian,1
